Team Name,Batter Name,,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,T Rating,Passball,Power Left,Power Right,Outfield Arm,Catcher Arm
1997 Seaota                             ,Brede, Brent                  ,27,0,6,3,2,0,0,1,4,1,0,1,0,D,B,13,C,L,0,0,4,0,0,0,4,0,4,37.5  ,17.5  ,39    ,0.222,0.296,0.300,6,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Seaota                             ,Becker, Rich                  ,19,4,6,3,1,0,0,4,4,1,0,5,0,C,B,15,C,L,0,0,0,0,0,0,3,3,3,39.4  ,19.35 ,41.35 ,0.316,0.368,0.552,5,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Seaota                             ,Meares, Pat                   ,14,5,6,2,4,0,0,1,1,1,0,0,0,C,C,13,C,R,0,0,0,0,3,0,0,0,0,29    ,23    ,37.95 ,0.429,0.714,0.500,3,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Seaota                             ,Ortiz, David                  ,21,2,6,2,2,0,1,0,10,0,0,0,0,D,E,10,D,L,0,0,5,0,0,0,0,0,0,39.7  ,25.5  ,42.05 ,0.286,0.524,0.286,5,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Seaota                             ,Stahoviak, Scott              ,0,0,0,0,0,0,0,0,0,0,0,0,0,D,C,12,C,L,0,0,2,0,0,0,0,0,0,24.8  ,30.85 ,27.2  ,0.000,0.000,0.000,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Seaota                             ,Myers, Greg                   ,11,0,3,0,0,0,0,0,1,0,0,0,0,D,E,8,C,L,0,4,0,0,0,0,0,0,0,33.2  ,33.2  ,31.45 ,0.273,0.273,0.273,3,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Seaota                             ,Amaral, Rich                  ,34,1,4,2,0,1,0,2,7,0,0,2,0,B,B,16,C,R,0,0,3,4,4,4,3,3,3,32    ,32.25 ,39.4  ,0.118,0.176,0.211,8,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Seaota                             ,Davis, Russ                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,C,C,11,D,R,0,0,0,0,0,4,0,0,0,30    ,32.8  ,31.1  ,0.000,0.000,0.000,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Seaota                             ,Griffey Jr., Ken              ,36,10,15,14,0,0,6,1,7,1,0,2,1,D,B,15,D,L,0,0,0,0,0,0,0,1,0,40.5  ,32.9  ,45.4  ,0.417,0.917,0.475,7,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Seaota                             ,Rodriguez, Alex               ,19,2,4,0,1,0,0,2,2,0,0,4,0,A,A,15,C,R,0,0,0,0,3,0,0,0,0,37.5  ,37.05 ,40.3  ,0.211,0.263,0.400,5,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Seaota                             ,Hocking, Denny                ,0,0,0,0,0,0,0,0,0,0,0,0,0,B,D,13,D,S,0,0,4,3,4,3,3,4,3,29    ,37.25 ,24.65 ,0.000,0.000,0.000,1,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Seaota                             ,Colbrunn, Greg                ,0,0,0,0,0,0,0,0,0,0,0,0,0,D,E,12,C,R,0,0,3,0,0,0,0,0,0,30.6  ,39.3  ,27.9  ,0.000,0.000,0.000,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Seaota                             ,Steinbach, Terry              ,0,0,0,0,0,0,0,0,0,0,0,0,0,D,C,8,C,R,0,2,4,0,0,0,0,0,0,28    ,40.55 ,24.7  ,0.000,0.000,0.000,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Seaota                             ,Kelly, Roberto                ,7,0,0,0,0,0,0,0,4,0,0,0,0,C,B,14,C,R,0,0,0,0,0,0,2,4,2,34.2  ,41.5  ,34.15 ,0.000,0.000,0.000,2,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Seaota                             ,Wilson, Dan                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,B,C,9,C,R,0,2,0,0,0,0,0,0,0,32.2  ,43    ,30.95 ,0.000,0.000,0.000,0,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Seaota                             ,Knoblauch, Chuck              ,25,1,5,2,2,0,0,3,4,0,0,4,0,D,2,17,B,R,0,0,0,1,4,0,0,0,0,43    ,44    ,47.75 ,0.200,0.280,0.375,6,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
1997 Seaota                             ,Lawton, Matt                  ,30,1,9,6,3,0,0,7,3,2,0,0,0,D,C,15,B,L,0,0,0,0,0,0,4,5,4,38.7  ,44.8  ,40.6  ,0.300,0.400,0.462,8,0,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0     ,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
