Team Name,LastName,FirstName,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,T Rating,Passball,Power Left,Power Right,Outfield Arm,Catcher Arm
Bostago,Jefferson,Reggie,9,2,2,1,0,0,0,1,3,1,0,0,0,C,E,10,D,L,0,0,5,0,0,0,0,0,0,38.05,16.40,45.80,0.222,0.222,0.364,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Bostago,Durham,Ray,8,2,1,1,0,0,0,4,3,0,0,1,0,A,A,17,C,R,0,0,0,3,0,0,0,0,0,35.45,26.75,40.25,0.125,0.125,0.462,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Bostago,Valdez,Mario,14,3,5,4,0,0,1,3,2,0,0,0,0,D,E,10,D,L,0,0,2,0,0,5,0,0,0,36.80,27.25,41.30,0.357,0.571,0.471,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Bostago,Pena,Tony,12,1,0,2,0,0,0,2,2,1,0,0,0,D,E,8,C,R,0,3,0,0,0,5,0,0,0,17.70,27.80,23.00,0.000,0.000,0.200,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Bostago,Garciaparra,Nomar,41,12,17,9,5,1,3,2,4,0,0,0,0,D,A,15,C,R,0,0,0,0,2,0,0,0,0,31.00,29.70,41.65,0.415,0.805,0.442,10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Bostago,Abbott,Jeff,0,0,0,0,0,0,0,0,0,0,0,0,0,D,E,12,C,R,0,0,0,0,0,0,3,0,3,26.35,29.80,24.30,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Bostago,Pemberton,Rudy,28,2,8,6,2,0,0,1,6,0,0,0,0,D,E,14,D,R,0,0,0,0,0,0,0,0,0,24.50,30.50,40.75,0.286,0.357,0.310,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Bostago,Mouton,Lyle,0,0,0,0,0,0,0,0,0,0,0,0,0,D,C,12,D,R,0,0,0,0,0,0,4,0,4,29.00,30.85,32.60,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Bostago,Haselman,Bill,0,0,0,0,0,0,0,0,0,0,0,0,0,D,E,10,D,R,0,3,0,0,0,0,0,0,0,23.25,30.90,21.70,0.000,0.000,0.000,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Bostago,Martinez,Dave,13,2,2,1,0,0,1,0,1,0,0,0,0,B,B,14,B,L,0,0,3,0,0,0,2,2,2,38.35,32.00,38.50,0.154,0.385,0.154,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Bostago,Bragg,Darren,9,1,3,3,1,0,1,0,0,0,0,0,0,C,C,14,B,L,0,0,0,0,0,5,0,4,0,34.30,33.00,34.60,0.333,0.778,0.333,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Bostago,Ordonez,Magglio,4,0,1,1,0,0,0,0,2,0,0,0,0,D,D,12,D,R,0,0,0,0,0,0,0,0,0,38.00,33.00,40.30,0.250,0.250,0.250,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Bostago,Cordero,Wil,0,0,0,0,0,0,0,0,0,0,0,0,0,D,E,13,D,R,0,0,0,5,0,0,3,0,3,30.25,33.30,31.55,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Bostago,Hatteberg,Scott,29,3,8,2,2,0,0,6,4,0,0,0,0,D,E,10,D,L,0,4,0,0,0,0,0,0,0,38.20,33.55,39.20,0.276,0.345,0.400,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Bostago,O'Leary,Troy,17,2,5,1,2,0,0,1,4,0,0,0,0,D,E,13,C,L,0,0,0,0,0,0,4,0,4,38.75,36.15,39.00,0.294,0.412,0.333,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
