Team Name,LastName,FirstName,AB,Runs,Hits,RBI,2B,3B,HR,W,K,RE,SF,SB,CS,Bunting,Stealing,Running,Hit Run,LRS,P,C,1B,2B,SS,3B,LF,CF,RF,ChB,ChL,ChR,AVG,SLG,OBP,Games,HBP,Ch1B,Ch2B,Ch3B,ChHR,ChW,ChDP,Ch1BL,Ch2BL,Ch3BL,ChHRL,ChWL,ChDPL,Ch1BR,Ch2BR,Ch3BR,ChHRR,ChWR,ChDPR,ER1,ER2,ER3,ER4,ER5,ER6,ER7,ER8,ER9,T Rating,Passball,Power Left,Power Right,Outfield Arm,Catcher Arm
Cinangeles,Anthony,Eric,0,0,0,0,0,0,0,0,0,0,0,0,0,D,C,12,D,L,0,0,0,0,0,0,4,0,4,36.90,3.15,36.55,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Cinangeles,Nixon,Otis,22,3,10,4,0,0,1,1,0,1,0,2,1,A,AA,17,C,R,0,0,0,0,0,0,0,2,0,38.10,20.40,43.15,0.455,0.591,0.538,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Cinangeles,Guerrero,Wilton,15,4,8,5,1,1,2,0,1,1,0,0,1,A,C,13,B,R,0,0,0,4,4,0,0,0,0,32.75,22.90,35.75,0.533,1.133,0.563,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Cinangeles,Morris,Hal,20,1,3,2,0,0,0,2,4,0,0,0,0,B,D,10,B,L,0,0,3,0,0,0,0,0,0,32.80,25.25,40.25,0.150,0.150,0.227,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Cinangeles,Stynes,Chris,14,3,3,1,0,0,1,1,3,1,0,1,0,C,A,14,B,R,0,0,0,4,0,4,4,0,4,45.30,25.90,55.25,0.214,0.429,0.353,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Cinangeles,Greene,Willie,9,2,5,4,0,0,1,0,1,1,0,0,1,D,C,11,D,L,0,0,4,0,5,4,4,0,4,39.50,26.85,40.35,0.556,0.889,0.600,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Cinangeles,Owens,Eric,0,0,0,0,0,0,0,0,0,0,0,0,0,D,B,16,D,R,0,0,0,4,0,0,3,4,3,30.80,30.20,33.25,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Cinangeles,Karros,Eric,5,1,2,0,0,0,0,0,2,0,0,1,0,D,B,10,C,R,0,0,3,0,0,0,0,0,0,34.20,32.00,38.40,0.400,0.400,0.500,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Cinangeles,Nunnally,Jon,20,5,7,3,0,0,2,3,8,0,0,0,1,C,B,14,D,L,0,0,0,0,0,0,3,4,3,52.50,34.80,51.25,0.350,0.650,0.435,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Cinangeles,Lewis,Darren,24,1,7,3,0,0,0,0,5,1,0,2,2,A,C,17,D,R,0,0,0,0,0,0,1,1,1,38.75,36.00,41.70,0.292,0.292,0.370,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
Cinangeles,Sanders,Deion,0,0,0,0,0,0,0,0,0,0,0,0,0,B,AA,17,C,L,0,0,0,0,0,0,3,0,3,33.00,36.50,32.35,0.000,0.000,0.000,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,N,N,-6,-4
